taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051617420D,KEDAR BUILDERS LIMITED,LMT,Compliance,MTO,Income Tax - Company,2016,3750,0.01,N,3749.99,337.4991
P051894251Z,Trobica Transport Ltd,MST,Compliance,East of Nairobi,Income Tax - Company,2022,42000,2,N,41998,3779.82
P051201158Z,Ultra Eureka Farm Limited,LMT,Compliance,MTO,Income Tax - Company,2015,81000,0,N,81000,7290
P051102566S,Africa Inland Church Diguna,MST,Compliance,South of Nairobi,Income Tax - Company,2023,74700,0,N,74700,6723
P051157563G,INTERNATIONAL CAR HIRE LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2020,2400,0,N,2400,180
P051125059Y,PROCTOR & ALLAN (EA) LIMITED,LMT,Compliance,MTO,Income Tax - Company,2020,2400,2,N,2398,179.85
P051350446T,KAPUTEI RIVER HOLDINGS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,36391,1,N,36390,3275.1
P051428989C,Kapese Transport And Car Hiring Limited,MST,Compliance,LODWAR,Income Tax - Company,2018,22500,10000,N,12500,1125
P051211982X,GASMAN KENYA LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,5715,0,N,5715,514.35
P051211459T,WIDE- LINK EXPEDITIONS TOURS AND TRAVEL LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2016,135285,1,N,135284,12175.56
P051369293V,HARVESTERS HUB,MST,Compliance,East of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P051225960F,Pentakal Holdings Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2021,4500,1,N,4499,404.91
P051414637A,MOMA ELECTRICAL COMPANY SERVICES LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2016,2400,0.75,N,2399.25,215.9325
P051160474T,HEROES OF THE NATION,MST,Compliance,NAKURU,Income Tax - Company,2017,2400,1,N,2399,215.91
P051521128Q,ANCHAL ENTERPRISES KENYA LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2016,11250,1,N,11249,1012.41
P051639252R,Manjok International Limited,LMT,Compliance,MTO,Income Tax - Company,2020,118080,1,N,118079,8855.925
P051423257B,Pearl Motors Limited,MST,Compliance,Mombasa North,Income Tax - Company,2016,6000,0,N,6000,540
P051551300J,RANILA AFRICA LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,22500,3,N,22497,2024.73
P051631613Z,Ranka Investment Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2017,8100,0,N,8100,729
P051535181L,Ack Thika Memorial Church School,MST,Compliance,Thika,Income Tax - Company,2024,166400,1,N,166399,14975.91
P051232157V,H-man Travellers Limited,MST,Compliance,Meru,Income Tax - Company,2023,4800,1,N,4799,431.91
P051423646A,Beaconafrica Foundation,MST,Compliance,East of Nairobi,Income Tax - Company,2024,96000,1,N,95999,8639.91
P051204341Z,Barikisha Suppliers,MST,Compliance,West of Nairobi,Income Tax - Partnership,2016,8400,0,N,8400,756
P000620684V,NEFF LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2022,4800,1,N,4799,431.91
P051212193X,JIRANI    ENGINEERING   SERVICES    LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2015,2400,0,N,2400,216
P051645038I,TWO LINKS VENTURES LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2018,2025,0,N,2025,182.25
P051658406L,Barani Farm Limited,MST,Compliance,Malindi,Income Tax - Company,2019,2400,0,N,2400,216
P051733380K,FREDAN WHOLESALERS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2019,5700,0,N,5700,513
P051541583F,Chepseon Traders And Fashion Limited,MST,Compliance,KERICHO,Income Tax - Company,2022,9900,1,N,9899,890.91
P051619561T,Fox Hills Apartment Limited,MST,Compliance,NANYUKI,Income Tax - Company,2022,2400,1,N,2399,215.91
P051143439S,PROBATION TIME RESEARCH LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2016,12480,1,N,12479,1123.11
P051549678E,CHINA FAR EAST CONSTRUCTION CO. LIMITED,LMT,Compliance,MTO,Income Tax - Company,2023,166335,145053,N,21282,1915.38
P051658840R,Matunda Fifty Investments Company Limited,MST,Compliance,Eldoret,Income Tax - Company,2019,20160,0,N,20160,1814.4
P051321511C,NGURUMAH CONSULT LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2021,3600,1,N,3599,323.91
P051372777L,Transmara Springs Children Development Organization,MST,Compliance,NAROK,Income Tax - Company,2017,6480,0,N,6480,583.2
P051174448Y,JODAM (E.A) LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2015,2400,1,N,2399,215.91
P051423443V,Crestea Limited,MST,Compliance,Meru,Income Tax - Company,2022,2400,0,N,2400,216
P051345354F,RIDGEVILLE ACADEMY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2018,13920,12,N,13908,1251.72
P051388350L,VUTAGWA COMPANY LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,100,N,2300,207
P051458756U,Nzwanji Logistics Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,42900,10000,N,32900,2961
P051338487U,AMBIENT CONSTRUCTION LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2016,45000,0,N,45000,4050
P051407353G,Zaam Industries Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2022,21210,1,N,21209,1908.81
P051555333F,New Innovation Solutions Company Limited,MST,Compliance,Malindi,Income Tax - Company,2019,7200,0,N,7200,648
P051157529C,Bosco Auto Care & Tours 2004 Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2024,30325,1,N,30324,2729.16
P051171542K,Sisters Of Saint Joseph Of Tarbes,MST,Compliance,West of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P051526921G,Polaroid Company Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2017,22500,20000,N,2500,225
P051954927R,Gibbs Transport And Fitness Company Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2022,3600,1,N,3599,323.91
P051719175X,MARIANIST TECHNICAL INSTITUTE-UKUNDA,MST,Compliance,DIANI,Income Tax - Partnership,2023,10080,8,N,10072,906.48
P051114772X,SCANPEX COMMUNICATION SYSTEMS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2024,2400,1,N,2399,215.91
P051133376X,Decimal Investments Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,12900,0,N,12900,1161
P051139708B,Africa Evangelical Presbyterian Church,MST,Compliance,West of Nairobi,Income Tax - Company,2018,23760,3,N,23757,2138.13
P051193205L,Boleyn International (k) Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,187800,0.1,N,187799.9,16901.991
P051583286Q,Iconic Drillers And Construction Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,6750,0,N,6750,607.5
P051318853M,Aardwolf Africa Adventure Safaris Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2020,5760,1,N,5759,431.925
P051158808C,Sim Building Contractors Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2017,13450,1,N,13449,1210.41
P051315165D,Millenium Luxury Travellers Limited,MST,Compliance,ISIOLO,Income Tax - Company,2016,5040,1,N,5039,453.51
P051108963H,REGENT VALUERS INTERNATIONAL LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2016,2400,1,N,2399,215.91
P051551531S,Melvic Brothers Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P051457462N,Beamray Venture,MST,Compliance,North of Nairobi,Income Tax - Partnership,2016,2400,300,N,2100,189
P051744834K,Know Grow Show Enterprises,MST,Compliance,KAJIADO,Income Tax - Partnership,2020,36720,1,N,36719,2753.925
P051542170B,RANISA COMPANY LIMITED ,MST,Compliance,South of Nairobi,Income Tax - Company,2019,10080,1,N,10079,907.11
P051602834A,SPEEDRACER,MST,Compliance,Mombasa North,Income Tax - Partnership,2018,7200,0,N,7200,648
P051354568K,Gitech Investments Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2023,7650,0,N,7650,688.5
P051240567Y,Shepherds Junior School Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,57600,1,N,57599,5183.91
P051335477M,Comster International (k) Limited,MST,Compliance,Eldoret,Income Tax - Company,2021,4800,1,N,4799,431.91
P051211982X,GASMAN KENYA LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2015,5715,0,N,5715,514.35
P051729515L,Pepstel Limited,MST,Compliance,KERICHO,Income Tax - Company,2020,7350,0,N,7350,551.25
P000632257T,CAROL CONSTRUCTION ENGINEERS LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2024,13000,2,N,12998,1169.82
P051346007V,African Lion Tour Company Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2018,5760,0,N,5760,518.4
P051453600P,Jajedo Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2018,20160,1,N,20159,1814.31
P051093760A,Loreto Convent Girls Secondary School,MST,Compliance,Eldoret,Income Tax - Company,2016,10080,1000,N,9080,817.2
P051571029V,Makongeni Tuk Tuk Self Help Group,MST,Compliance,Thika,Income Tax - Company,2017,4800,0,N,4800,432
P051547200Y,PYRO ENERGY EAST AFRICA LIMITED,MST,Compliance,Machakos,Income Tax - Company,2017,4650,0,N,4650,418.5
P051356767R,Moc Bishop Mulea Academy,MST,Compliance,KITUI,Income Tax - Company,2016,20160,1,N,20159,1814.31
P000634425P,Braemeg Co Op Savings & Credit Society Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2017,47520,31694,N,15826,1424.34
P051168711U,Hy-tech Bins Nairobi,MST,Compliance,West of Nairobi,Income Tax - Partnership,2020,10050,1000,N,9050,678.75
P051529446Q,RIFT VALLEY SAFARIS & LOGISTICS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2020,22320,0,N,22320,1674
P051094403Z,MASENO SOUTH A C K,MST,Compliance,Kisumu,Income Tax - Company,2023,36720,1,N,36719,3304.71
P051318570K,Kilifi Bin Abdulrahim Traders Limited,MST,Compliance,Malindi,Income Tax - Company,2016,3750,1987,N,1763,158.67
P051094674H,Bombolulu Coast Workshop For Handcaft,MST,Compliance,Mombasa North,Income Tax - Company,2016,6480,3,N,6477,582.93
P051509733M,KABURN CONSTRUCTION COMPANY LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2017,22500,0,N,22500,2025
P051095253C,AFRICA GOSPEL CHURCH (KENYA),MST,Compliance,South of Nairobi,Income Tax - Company,2018,20160,1,N,20159,1814.31
P051107830T,Kendag Limited,MST,Compliance,Kisumu,Income Tax - Company,2015,11910,0,N,11910,1071.9
P051336028Z,KAPSABET HIGHLANDS SCHOOL LIMITED,MST,Compliance,Eldoret,Income Tax - Company,2023,126720,1,N,126719,11404.71
P051663726H,GOLDEN ELITES HOLDINGS LIMITED,MST,Compliance,Kisumu,Income Tax - Company,2018,93600,0,N,93600,8424
P051406954L,Autocom Motors Limited,MST,Compliance,Mombasa North,Income Tax - Company,2015,45000,1,N,44999,4049.91
P051141669V,LEGACY SCHOOLS,MST,Compliance,KITALE,Income Tax - Partnership,2021,79200,1,N,79199,7127.91
